Event,,Lat ( ° ),Lon ( ° ),Depth (km),Local Magnitude,Moment magnitude,Seismic moment (Nm),No. EGF,P-wave measurements,,,S-wave measurements,,
,,,,,,,,,Stations,Corner frequecy (Hz), Stress Drop (MPa),Stations, Corner frequecy (Hz),Stress Drops (MPa)
North Westland section events,20190520071324,-42.91,171.83,14.3,2.3,2.2,2.24E+12,15,,,,5.0,9.5,1.1
,20190731152024,-42.86,171.61,10.0,4.0,3.8,5.84E+14,14,5.0,4.7,18.0,5.0,4.8,34.4
,20190805213540,-42.81,171.65,7.8,2.3,2.2,2.39E+12,45,5.0,17.2,3.5,5.0,17.2,6.6
,20190813121129,-42.87,171.62,6.5,2.6,2.6,8.86E+12,77,5.0,11.3,3.7,5.0,11.9,8.1
,20190814053750,-42.86,171.63,4.7,2.6,2.5,7.08E+12,59,5.0,18.6,13.2,,,
,20190923014313,-42.70,171.38,15.5,3.7,3.5,2.46E+14,35,7.0,6.4,19.1,7.0,11.5,205.4
,20190924091844,-42.71,171.37,15.7,4.2,3.9,1.04E+15,20,,,,7.0,4.2,40.6
,20190924092315,-42.71,171.38,16.3,2.5,2.4,4.52E+12,29,7.0,22.3,14.7,7.0,11.6,3.9
,20190924154235,-42.70,171.38,15.5,2.4,2.3,3.50E+12,26,7.0,20.1,8.2,7.0,29.4,48.2
,20190924161012,-42.70,171.37,16.2,3.0,2.8,2.31E+13,35,7.0,10.1,6.9,6.0,10.6,14.9
,20190924203940,-42.70,171.37,16.3,2.2,2.1,1.91E+12,23,7.0,27.8,11.9,6.0,20.8,10.0
,20190924204345,-42.70,171.37,16.0,2.5,2.4,5.31E+12,30,,,,7.0,18.9,19.5
,20190925112909,-42.71,171.37,16.2,3.5,3.3,9.75E+13,34,7.0,19.5,211.6,7.0,8.8,36.5
,20190927121717,-42.71,171.37,15.2,4.1,3.9,8.31E+14,23,,,,7.0,3.2,14.9
,20190927163023,-42.70,171.37,16.1,2.9,2.8,1.91E+13,34,5.0,27.0,109.9,5.0,30.8,301.2
,20190928230745,-42.70,171.37,15.4,3.3,3.2,7.08E+13,35,7.0,25.8,352.7,7.0,16.9,186.4
,20190929140740,-42.70,171.37,15.9,2.6,2.5,6.43E+12,31,6.0,12.5,3.7,6.0,12.8,7.3
,20191005053418,-42.71,171.38,15.7,2.6,2.5,7.31E+12,30,6.0,19.5,15.7,6.0,23.8,53.5
,20191017104924,-42.70,171.37,15.0,3.8,3.6,2.99E+14,36,7.0,8.9,60.6,7.0,7.9,78.9
,20191104071030,-42.72,171.38,16.4,2.6,2.5,7.79E+12,26,7.0,24.4,32.9,7.0,16.7,19.5
,20191129040810,-42.689,171.881,10.7,2.9,2.8,1.68E+13,58,,,,5.0,9.9,8.9
Central section,20081208173421,-43.447,170.374,10.6,2.7,,1.12E+13,68,3,17.7,19.8,5,17.0,32.5
,20081219145339,-43.462,170.348,6.7,2.2,,2.00E+12,119,5,40.6,42.4,,,
,20090225214217,-43.471,170.324,7.8,2.6,,7.94E+12,231,6,108.8,3244.5,7,23.2,72.8
,20090309074756,-43.502,170.239,7.0,2.3,,2.82E+12,127,,,,6,27.9,64.2
,20090316173225,-43.467,170.368,10.4,2.4,,3.98E+12,79,5,47.5,135.1,6,40.2,235.5
,20090422101936,-43.126,170.955,13.5,2.9,,2.24E+13,24,4,12.7,14.5,3,12.0,33.5
,20090503052658,-43.123,170.976,16.5,2.6,,7.94E+12,17,4,27.1,50.3,,,
,20090503132830,-43.401,170.615,12.3,2.3,,2.82E+12,30,5,35.8,41.0,,,
,20090507172004,-43.248,170.817,16.3,3.1,,4.47E+13,24,5,15.8,55.4,5,17.0,128.5
