id,qlat,qlon,qyr,qmon,qdy,qhr,qmn,qsc,ml,qdep,name
0,-42.866,171.621,2019,08,02,02,19,17,0.4881642869889758,9.7,20190802021917
1,-42.961,171.881,2019,07,23,10,11,57,1.9418552000310418,11.8,20190723101157
2,-42.723,171.729,2019,09,05,01,43,14,1.6544012319802268,9.0,20190905014314
3,-42.707,171.369,2019,10,17,11,36,33,1.3536468857593764,15.9,20191017113633
4,-42.876,171.611,2019,09,16,00,31,15,0.6265271948529841,10.3,20190916003115
5,-43.077,171.449,2020,02,24,16,18,32,0.9561722117355662,18.1,20200224161832
6,-42.898,171.721,2020,01,12,15,59,06,1.0376972390764765,11.0,20200112155906
7,-42.687,171.859,2019,12,13,21,27,23,0.9322885865772684,11.3,20191213212723
8,-42.75,171.708,2019,07,07,12,57,32,-0.0984502808337121,7.6,20190707125732
9,-42.766,171.634,2019,09,01,04,01,05,0.9217241357732635,11.7,20190901040105
10,-42.668,171.939,2019,08,06,17,42,13,0.6161784540954874,12.2,20190806174213
11,-42.766,171.499,2019,07,13,10,08,05,0.7620809770492529,6.0,20190713100805
12,-42.664,171.876,2019,05,15,10,06,43,0.7330252409176136,11.8,20190515100643
13,-42.682,171.882,2019,07,22,04,08,16,1.5949458516432031,7.6,20190722040816
14,-42.756,171.744,2019,10,19,02,48,53,-0.038580367689085404,7.2,20191019024853
15,-42.974,171.444,2019,05,02,22,23,21,0.9131365629809912,9.0,20190502222321
16,-42.811,171.668,2019,07,30,10,02,03,0.7180288581392558,8.1,20190730100203
17,-42.707,171.373,2019,09,25,11,29,09,3.4419760775518147,16.2,20190925112909
18,-42.911,171.677,2019,10,26,06,47,03,0.9850354564453883,12.5,20191026064703
19,-42.711,171.663,2019,06,01,22,58,09,0.6796335050238064,8.4,20190601225809
20,-42.653,171.93,2019,11,26,13,50,46,0.6844933243815734,12.1,20191126135046
21,-42.757,171.48,2019,06,10,18,24,45,-0.17467158674502958,6.3,20190610182445
22,-42.886,171.746,2019,08,05,06,58,43,0.8036387249959723,10.2,20190805065843
23,-42.683,171.879,2019,12,31,08,19,03,0.3818288162743877,11.4,20191231081903
24,-42.774,171.682,2019,07,29,18,24,21,0.819930584700691,10.1,20190729182421
25,-42.749,171.685,2019,10,27,13,42,01,0.6633061184642752,12.2,20191027134201
26,-42.936,171.932,2020,01,11,13,56,45,3.1907147459170107,13.9,20200111135645
27,-42.935,171.553,2019,05,09,11,39,13,0.5222972945890925,9.1,20190509113913
28,-42.643,171.794,2019,10,24,07,27,47,0.8978490783844055,7.1,20191024072747
29,-42.706,171.89,2019,11,12,06,27,42,1.2471287203544832,11.5,20191112062742
30,-42.79,171.695,2019,12,12,15,40,47,0.7725791289701616,9.9,20191212154047
31,-42.7,171.374,2019,09,24,11,52,34,0.5862569989871647,15.7,20190924115234
32,-42.893,171.791,2019,05,07,21,49,12,0.9148390188294702,19.8,20190507214912
33,-42.966,171.586,2019,09,15,02,34,31,1.6612233076191671,4.3,20190915023431
34,-42.773,171.772,2019,12,08,13,51,38,0.6248464572954824,9.8,20191208135138
35,-42.757,171.803,2019,09,03,14,37,50,0.7299915457460454,9.2,20190903143750
36,-42.878,171.717,2019,07,16,11,05,53,0.7080783816644661,9.9,20190716110553
37,-42.719,171.342,2019,10,21,17,20,57,0.5307683713842473,12.9,20191021172057
38,-42.75,171.469,2019,08,04,19,11,35,0.6926412246013803,7.0,20190804191135
39,-42.709,171.777,2019,06,14,16,02,24,0.16988940247816262,5.8,20190614160224
40,-42.771,171.484,2019,09,01,09,46,13,0.5286487379988499,7.3,20190901094613
41,-42.683,171.366,2019,09,23,02,19,32,1.271213433751939,15.4,20190923021932
42,-42.612,171.791,2019,12,06,06,28,53,0.8596152494990785,11.5,20191206062853
43,-42.757,171.714,2019,10,07,23,52,28,1.323775558279811,11.5,20191007235228
44,-42.655,171.883,2019,05,10,02,01,18,1.4427632469828753,10.7,20190510020118
45,-42.517,171.995,2019,12,26,19,13,16,2.0921492554179295,0.0,20191226191316
46,-42.829,171.676,2019,06,12,12,25,10,0.2363381552046771,7.2,20190612122510
47,-42.627,171.966,2019,08,07,15,38,21,0.7397429532655633,9.5,20190807153821
48,-42.646,171.36,2020,01,11,00,47,16,0.8565143769635274,13.4,20200111004716
49,-42.71,171.779,2019,08,20,14,03,47,0.22365960019385694,9.2,20190820140347
50,-42.756,171.748,2019,09,07,11,11,32,0.5454413053839001,8.9,20190907111132
51,-42.73,171.762,2020,03,03,17,19,26,1.3788645510937276,9.6,20200303171926
52,-42.766,171.483,2019,06,01,17,30,00,0.48641760606260015,7.1,20190601173000
53,-42.871,171.407,2019,06,22,23,45,18,0.34783086906049704,4.4,20190622234518
54,-42.799,171.419,2019,06,15,14,13,58,0.323664914834516,6.9,20190615141358
55,-42.955,171.453,2019,05,03,16,28,59,0.45294153923162805,11.0,20190503162859
56,-42.905,171.695,2019,12,09,08,49,02,0.7891897292868113,12.5,20191209084902
57,-42.936,171.426,2019,12,18,06,16,23,1.1200607640098383,10.2,20191218061623
58,-42.69,171.802,2019,12,23,19,08,02,1.4262186025769095,12.4,20191223190802
59,-42.703,171.693,2020,02,08,06,55,28,1.2141570298164095,9.6,20200208065528
60,-42.762,171.48,2019,06,10,15,34,33,-0.030078691467569932,6.8,20190610153433
61,-42.651,171.955,2019,12,11,03,27,04,1.3051451403871053,10.4,20191211032704
62,-42.786,171.678,2019,09,01,19,33,06,0.07936584690039061,5.6,20190901193306
63,-42.73,171.219,2019,06,15,17,17,37,0.9596490967713445,14.1,20190615171737
64,-42.873,171.629,2019,08,06,12,41,47,1.2977555867822912,7.7,20190806124147
65,-42.679,171.728,2019,09,10,17,41,44,0.666856257593226,11.0,20190910174144
66,-42.876,171.625,2019,08,12,16,28,52,0.9693458645598152,8.6,20190812162852
67,-42.747,171.711,2020,01,08,04,58,47,0.9657931555274791,6.1,20200108045847
68,-42.672,171.863,2019,05,22,06,17,42,0.5133792501298631,10.7,20190522061742
69,-42.675,171.891,2019,12,07,16,06,42,0.9791596709191183,10.7,20191207160642
70,-42.753,171.785,2020,01,13,16,02,11,0.41037716216038916,7.2,20200113160211
71,-42.768,171.676,2019,11,03,00,46,24,0.34709228464056285,7.8,20191103004624
72,-42.708,171.676,2019,09,26,05,14,24,0.4919081600548006,8.2,20190926051424
73,-42.718,171.757,2019,05,11,01,28,40,0.575453160047252,6.6,20190511012840
74,-42.827,171.639,2019,06,22,04,57,05,0.628663656248879,4.5,20190622045705
75,-42.783,171.659,2019,09,04,20,49,05,0.3880628296689916,10.5,20190904204905
76,-42.7,171.374,2019,09,25,16,30,35,0.41446252482501544,15.3,20190925163035
77,-42.734,171.76,2019,10,10,16,07,53,0.45788421097051474,14.7,20191010160753
78,-42.672,171.862,2019,09,08,13,42,19,1.4093855671027227,11.7,20190908134219
79,-42.785,171.691,2019,05,05,20,06,14,0.03863432612533514,5.5,20190505200614
80,-42.894,171.593,2019,06,22,02,27,38,0.2517394668178709,11.3,20190622022738
81,-42.883,171.758,2019,07,10,12,46,08,0.8142639727967533,12.5,20190710124608
82,-42.79,171.657,2019,09,13,16,32,25,0.7418597048861874,9.3,20190913163225
83,-42.776,171.751,2019,11,03,05,40,10,0.5822824816094292,8.3,20191103054010
84,-42.843,171.634,2019,11,28,04,11,33,0.38655670844949,11.2,20191128041133
85,-42.783,171.645,2019,08,19,01,10,45,0.23975048383249778,7.3,20190819011045
86,-42.838,171.809,2019,05,14,18,56,37,2.3372788791489802,10.6,20190514185637
87,-42.68,171.931,2019,07,15,04,44,14,0.5872833037939601,10.8,20190715044414
88,-42.752,171.463,2019,06,10,02,56,58,0.3452213617748565,8.3,20190610025658
89,-42.971,171.964,2019,06,01,18,37,37,1.2841329924791862,13.8,20190601183737
90,-42.652,171.842,2020,02,20,17,43,37,0.6586226305115017,13.4,20200220174337
91,-42.74,171.573,2019,05,18,16,31,08,0.07432292042451859,4.1,20190518163108
92,-42.619,171.88,2019,05,20,10,24,17,0.4441823371933457,12.0,20190520102417
93,-42.777,171.749,2019,05,08,16,25,05,0.21909574752579897,8.2,20190508162505
94,-42.741,171.546,2019,08,30,19,52,07,0.4390087607044402,6.5,20190830195207
95,-42.695,171.375,2019,09,24,14,46,52,1.3678435969320948,15.2,20190924144652
96,-42.68,171.856,2019,10,25,21,49,37,0.8774971089953459,9.7,20191025214937
97,-42.91,171.834,2019,05,24,01,19,14,1.2661007655753371,17.0,20190524011914
98,-42.852,171.488,2019,10,14,15,31,08,1.0155448402733513,9.1,20191014153108
99,-42.767,171.443,2019,07,21,14,36,29,0.21371355408512863,7.6,20190721143629
100,-42.52,171.924,2019,10,23,07,40,33,1.294458974036761,19.8,20191023074033
101,-42.733,171.315,2019,05,15,05,55,33,1.1693368919752163,8.9,20190515055533
102,-42.861,171.651,2019,10,19,13,58,03,0.3155319484330338,8.3,20191019135803
103,-42.864,171.619,2019,08,14,14,06,54,0.5174025893460447,10.6,20190814140654
104,-42.737,171.765,2019,08,11,18,54,28,0.7057411449429194,5.7,20190811185428
105,-42.857,171.623,2020,01,18,12,43,02,0.39913328418669064,8.4,20200118124302
106,-42.871,171.625,2019,07,31,15,56,15,0.4226845382913166,6.5,20190731155615
107,-42.706,171.684,2019,08,25,21,52,46,0.5321839195851098,10.5,20190825215246
108,-42.811,171.666,2019,08,18,22,51,57,0.5412397136656374,7.7,20190818225157
109,-42.587,171.682,2019,07,24,06,02,43,0.2717039720814007,4.2,20190724060243
110,-43.024,171.712,2019,10,30,21,24,58,0.8122343123732643,19.8,20191030212458
111,-42.762,171.489,2020,01,04,10,37,57,0.41434153590813555,7.7,20200104103757
112,-42.702,171.89,2020,02,15,17,49,25,0.8840660821946382,3.9,20200215174925
113,-42.688,171.897,2019,06,14,21,21,06,1.0614571504421966,11.1,20190614212106
